subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,14,4,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,22,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,25,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,32,36,0,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,75,43,1,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,129,9,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,140,47,1,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,196,18,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,18,26,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,11,9,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,22,6,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,30,15,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,47,23,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,72,18,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,94,43,1,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,96,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,149,5,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,156,18,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,176,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,179,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,182,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,185,10,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,197,14,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,214,33,0,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,249,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,252,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,255,0,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,258,15,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,276,17,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,297,23,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detect_single_file.py,35,144,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,7,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,13,42,1,1,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,60,2,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,62,2,0,0,0
