subject,file,lineno,PAR,experience-based,statistics-based,tuning machine
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,14,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,22,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,25,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,32,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,75,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,129,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,140,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/util.py,196,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,18,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,11,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,22,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,30,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,47,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,72,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,94,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,96,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,149,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,156,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,176,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,179,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,182,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,185,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,197,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,214,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,249,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,252,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,255,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,258,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,276,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,297,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,6,0,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/report_generator.py,129,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,18,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,38,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,53,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,72,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,89,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,93,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,116,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,122,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,133,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,138,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,148,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,165,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,206,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,361,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,465,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,473,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,481,4,0,1,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,499,2,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,522,3,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,593,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,602,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,610,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,614,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,621,1,0,0,0
pysmell,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/customast.py,628,1,0,0,0
