subject,file,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,222,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,223,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,224,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,226,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,227,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/run_detection_local.py,228,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/compare_metric_distribution_across_projects.py,34,27,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/astChecker.py,226,41,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detect_single_file.py,145,37,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,232,114,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,238,151,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,533,128,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,535,116,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,541,113,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,542,121,1,1,1,1
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,630,28,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,631,20,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,632,20,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,684,30,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/smell_examples.py,687,30,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,216,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,217,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,218,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,220,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,221,35,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector100.py,222,35,1,0,0,0
